,Filename,Polycount,Non-Manifold Parts,Self Intersecting Parts
0,3d-vh-f-eye-l-100.fbx,184187,"['VH_F_optic_disc_L', 'VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_schlemms_canal_L', 'VH_F_ora_serrata_of_retina_L', 'VH_F_suspensory_ligament_of_lens_L', 'VH_F_ciliary_processes_L', 'VH_F_optic_choroid_L']","['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_schlemms_canal_L', 'VH_F_suspensory_ligament_of_lens_L', 'VH_F_ciliary_processes_L', 'VH_F_optic_choroid_L', 'VH_F_sclera_L']"
1,3d-vh-f-eye-l-20.fbx,46527,"['VH_F_optic_disc_L', 'VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_schlemms_canal_L', 'VH_F_ora_serrata_of_retina_L', 'VH_F_suspensory_ligament_of_lens_L', 'VH_F_ciliary_processes_L', 'VH_F_optic_choroid_L']","['VH_F_optic_disc_L', 'VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_schlemms_canal_L', 'VH_F_ora_serrata_of_retina_L', 'VH_F_suspensory_ligament_of_lens_L', 'VH_F_ciliary_processes_L', 'VH_F_optic_choroid_L']"
2,3d-vh-f-eye-l-40.fbx,75903,"['VH_F_optic_disc_L', 'VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_schlemms_canal_L', 'VH_F_ora_serrata_of_retina_L', 'VH_F_suspensory_ligament_of_lens_L', 'VH_F_ciliary_processes_L', 'VH_F_optic_choroid_L']","['VH_F_optic_disc_L', 'VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_schlemms_canal_L', 'VH_F_ora_serrata_of_retina_L', 'VH_F_suspensory_ligament_of_lens_L', 'VH_F_ciliary_processes_L']"
3,3d-vh-f-eye-l-80.fbx,146151,"['VH_F_optic_disc_L', 'VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_schlemms_canal_L', 'VH_F_ora_serrata_of_retina_L', 'VH_F_suspensory_ligament_of_lens_L', 'VH_F_ciliary_processes_L', 'VH_F_optic_choroid_L']","['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_schlemms_canal_L', 'VH_F_suspensory_ligament_of_lens_L', 'VH_F_ciliary_processes_L', 'VH_F_sclera_L']"
4,3d-vh-f-eye-r-100.fbx,183870,"['VH_F_optic_disc_R', 'VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_optic_choroid_R', 'VH_F_ciliary_processes_R', 'VH_F_suspensory_ligament_of_lens_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_muscle_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']","['VH_F_sclera_R', 'VH_F_optic_choroid_R', 'VH_F_ciliary_processes_R', 'VH_F_suspensory_ligament_of_lens_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']"
5,3d-vh-f-eye-r-20.fbx,46192,"['VH_F_optic_disc_R', 'VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_optic_choroid_R', 'VH_F_ciliary_processes_R', 'VH_F_suspensory_ligament_of_lens_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_muscle_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']","['VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_ciliary_processes_R', 'VH_F_suspensory_ligament_of_lens_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_muscle_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']"
6,3d-vh-f-eye-r-40.fbx,75783,"['VH_F_optic_disc_R', 'VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_optic_choroid_R', 'VH_F_ciliary_processes_R', 'VH_F_suspensory_ligament_of_lens_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_muscle_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']","['VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_ciliary_processes_R', 'VH_F_suspensory_ligament_of_lens_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']"
7,3d-vh-f-eye-r-80.fbx,145877,"['VH_F_optic_disc_R', 'VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_optic_choroid_R', 'VH_F_ciliary_processes_R', 'VH_F_suspensory_ligament_of_lens_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_muscle_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']","['VH_F_sclera_R', 'VH_F_ciliary_processes_R', 'VH_F_suspensory_ligament_of_lens_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']"
8,3d-vh-f-larynx-100.fbx,17375,['VH_F_cricoid_cartilage'],[]
9,3d-vh-f-larynx-20.fbx,3470,['VH_F_cricoid_cartilage'],[]
