Organ_Name,Num_of_triangles
VH_F_retina_L,16176
VH_F_fovea_L,384
VH_F_macula_lutea_L,3561
VH_F_optic_disc_L,18618
VH_F_palpebral_conjunctiva_of_left_upper_eyelid,13476
VH_F_palpebral_conjunctiva_of_left_lower_eyelid,13041
VH_F_vitreous_humor_L,56196
VH_F_cornea_L,14682
VH_F_bulbar_conjunctiva_L,24093
VH_F_iris_L,49299
VH_F_trabecular_meshwork_L,36828
VH_F_ciliary_body_L,23829
VH_F_ciliary_muscle_L,87315
VH_F_aqueous_humor_L,8550
VH_F_schlemms_canal_L,37848
VH_F_lens_L,2526
VH_F_corneo_scleral_junction_L,7392
VH_F_ora_serrata_of_retina_L,25425
VH_F_suspensory_ligament_of_lens_L,31365
VH_F_ciliary_processes_L,76608
VH_F_pupil_L,1536
VH_F_optic_choroid_L,19152
VH_F_sclera_L,18288
VH_F_retina_R,16176
VH_F_fovea_R,384
VH_F_macula_lutea_R,3561
VH_F_optic_disc_R,18621
VH_F_palpebral_conjunctiva_of_right_upper_eyelid,13476
VH_F_palpebral_conjunctiva_of_right_lower_eyelid,13041
VH_F_sclera_R,18288
VH_F_optic_choroid_R,19152
VH_F_pupil_R,1512
VH_F_ciliary_processes_R,76608
VH_F_suspensory_ligament_of_lens_R,31365
VH_F_ora_serrata_of_retina_R,25419
VH_F_corneo_scleral_junction_R,7392
VH_F_lens_R,2526
VH_F_schlemms_canal_R,37848
VH_F_aqueous_humor_R,8550
VH_F_ciliary_body_R,23829
VH_F_ciliary_muscle_R,87315
VH_F_trabecular_meshwork_R,36828
VH_F_iris_R,49299
VH_F_bulbar_conjunctiva_R,24093
VH_F_cornea_R,14682
VH_F_vitreous_humor_R,56196
VH_F_arytenoid_cartilage_R,714
VH_F_arytenoid_cartilage_L,714
VH_F_epiglotic_cartilage,1014
VH_F_cricoid_cartilage,1014
VH_F_thyroid_cartilage,1362
VH_F_corniculate_cartilage_L,168
VH_F_corniculate_cartilage_R,228
VH_F_hilum_L,399
VH_F_hilum_upper_L,222
VH_F_lingula_superior_bronchopulmonary_segment,348
VH_F_left_anterior_bronchopulmonary_segment,279
VH_F_left_apical_bronchopulmonary_segment,120
VH_F_left_posterior_bronchopulmonary_segment,282
VH_F_lingula_inferior_bronchopulmonary_segment,315
VH_F_left_superior_bronchopulmonary_segment,387
VH_F_left_posterior_basal_bronchopulmonary_segment,480
VH_F_left_anterior_basal_bronchopulmonary_segment,162
VH_F_left_lateral_basal_bronchopulmonary_segment,168
VH_F_left_medial_basal_bronchopulmonary_segment,486
VH_F_hilum_lower_L,174
VH_F_hilum_R,1077
VH_F_right_medial_basal_bronchopulmonary_segment,117
VH_F_right_posterior_basal_bronchopulmonary_segment,456
VH_F_right_anterior_basal_bronchopulmonary_segment,636
VH_F_right_lateral_basal_bronchopulmonary_segment,210
VH_F_right_superior_bronchopulmonary_segment,618
VH_F_hilum_lower_R,657
VH_F_right_medial_bronchopulmonary_segment,561
VH_F_right_lateral_bronchopulmonary_segmennt,321
VH_F_hilum_middle_R,132
VH_F_right_anterior_bronchopulmonary_segm,792
VH_F_right_apical_bronchopulmonary_segment,324
VH_F_right_posterior_bronchopulmonary_segment,339
VH_F_hilum_upper_R,285
VH_F_cartilage_of_lobar_bronchus_L,32037
VH_F_cartilage_of_tertiary_bronchus_L,132528
VH_F_left_superior_lobar_bronchus,99
VH_F_left_inferior_lobar_bronchus,147
VH_F_left_anterior_basal_bronchus,102
VH_F_left_lingula_superior_bronchus,291
VH_F_left_apical_bronchus,69
VH_F_left_posterior_basal_bronchus,201
VH_F_left_medial_basal_bronchus,99
VH_F_left_superior_bronchus,162
VH_F_left_anterior_bronchus,144
VH_F_left_posterior_bronchus,180
VH_F_left_lateral_basal_bronchus,138
VH_F_left_lingula_inferior_bronchi,285
VH_F_cartilage_of_lobar_bronchus_R,43827
VH_F_cartilage_of_tertiary_bronchus_R,158679
VH_F_right_middle_lobar_bronchus,69
VH_F_right_superior_lobar_bronchus,54
VH_F_right_inferior_lobar_bronchus,180
VH_F_right_anterior_bronchus,339
VH_F_right_lateral_basal_bronchus,99
VH_F_right_lateral_bronchus,123
VH_F_right_medial_bronchus,165
VH_F_right_medial_basal_bronchus,126
VH_F_right_posterior_basal_bronchus,141
VH_F_right_posterior_bronchus,228
VH_F_right_superior_bronchus,189
VH_F_right_apical_bronchus,348
VH_F_right_anterior_basal_bronchus,225
VH_F_right_main_bronchus,99
VH_F_cartilage_of_main_bronchus_R,26781
VH_F_left_main_bronchus,129
VH_F_cartilage_of_main_bronchus_L,22731
VH_F_fat_L,19821
VH_F_areolar_tubercles_L,7674
VH_F_nipple_L,14712
VH_F_areola_L,36564
VH_F_mammary_lobes_L,113697
VH_F_main_lactiferous_ducts_L,52143
VH_F_main_lactiferous_sinuses_L,17199
VH_F_suspensory_ligaments_L,66417
VH_F_fat_R,112059
VH_F_areolar_tubercles_R,7674
VH_F_nipple_R,14712
VH_F_areola_R,36564
VH_F_main_lactiferous_sinuses_R,17187
VH_F_main_lactiferous_ducts_R,51999
VH_F_mammary_lobes_R,113697
VH_F_suspensory_ligaments_R,77523
3d-vh-f-palatine-tonsil-l_0.1,25803
3d-vh-f-palatine-tonsil-r_0.1,18384
3d-vh-f-skin_0.1,114786
VH_F_trachea,645
VH_F_tracheal_cartilage,6285
VH_F_carina,1278
VH_F_optic_chiasm,1110
Allen_olfactory_bulb_L,12
Allen_anterior_olfactory_nucleus_L,12
Allen_piriform_region_L,381
Allen_frontal_agranular_insular_cortex_area_Fl_L,24
Allen_temporal_agranular_insular_cortex_area_Tl_L,138
Allen_head_of_caudate_L,738
Allen_body_of_caudate_L,510
Allen_tail_of_caudate_L,180
Allen_putamen_L,624
Allen_nucleus_accumbens_L,138
Allen_external_segment_of_globus_pallidus_L,186
Allen_internal_segment_of_globus_pallidus_L,132
Allen_claustrum_L,849
Allen_basal_forebrain_L,258
Allen_septal_nuclei_L,255
Allen_amygdaloid_complex_L,324
Allen_anterior_amygdaloid_area_L,48
Allen_central_nuclear_group_L,24
Allen_lateral_nucleus_L,144
